央视超清,#genre#
江苏卫视,http://223.110.241.139:6610/gitv/live1/JSWS-HD/JSWS-HD
湖南卫视,http://223.110.241.139:6610/gitv/live1/G_HUNAN/G_HUNAN
安徽卫视,http://223.110.241.139:6610/gitv/live1/AHWS/AHWS/
辽宁卫视,http://223.110.241.139:6610/gitv/live1/LNWS/LNWS/
山东卫视,http://223.110.241.139:6610/gitv/live1/SDWS/SDWS/
广西卫视,http://223.110.241.139:6610/gitv/live1/GXWS/GXWS/
旅游卫视,http://223.110.241.139:6610/gitv/live1/LYWS/LYWS/
重庆卫视,http://223.110.241.139:6610/gitv/live1/G_CHONGQING/G_CHONGQING
四川卫视,http://223.110.241.139:6610/gitv/live1/SCWS/SCWS/
河南卫视,http://223.110.241.139:6610/gitv/live1/HENAN/HENAN/
东南卫视,http://223.110.241.139:6610/gitv/live1/DNWS/DNWS/
天津卫视,http://223.110.241.139:6610/gitv/live1/TJWS/TJWS/
江西卫视,http://223.110.241.139:6610/gitv/live1/JXWS/JXWS/
湖北卫视,http://223.110.241.139:6610/gitv/live1/G_HUBEI/G_HUBEI/
吉林卫视,http://223.110.241.139:6610/gitv/live1/G_JILIN/G_JILIN/
山西卫视,http://223.110.241.139:6610/gitv/live1/SXWS/SXWS/
贵州卫视,http://223.110.241.139:6610/gitv/live1/G_GUIZHOU/G_GUIZHOU/
青海卫视,http://223.110.241.139:6610/gitv/live1/G_QINGHAI/G_QINGHAI/
内蒙古卫视,http://223.110.241.139:6610/gitv/live1/G_NEIMENGGU/G_NEIMENGGU/
云南卫视,http://223.110.241.139:6610/gitv/live1/G_YUNNAN/G_YUNNAN/
河北卫视,http://223.110.241.139:6610/gitv/live1/G_HEBEI/G_HEBEI/
宁夏卫视,http://223.110.241.139:6610/gitv/live1/G_NINGXIA/G_NINGXIA/
新疆卫视,http://223.110.241.139:6610/gitv/live1/G_XINJIANG/G_XINJIANG/
甘肃卫视,http://223.110.241.139:6610/gitv/live1/G_GANSU/G_GANSU/
广东卫视,http://223.110.241.139:6610/gitv/live1/G_GUANGDONG/G_GUANGDONG/
深圳卫视,http://223.110.241.139:6610/gitv/live1/G_SHENZHEN/G_SHENZHEN/
黑龙江卫视,http://223.110.241.139:6610/gitv/live1/G_HEILONGJIANG/G_HEILONGJIANG/
西藏卫视,http://223.110.241.139:6610/gitv/live1/G_XIZANG/G_XIZANG/
陕西卫视,http://223.110.241.139:6610/gitv/live1/G_SHANXI/G_SHANXI/
南方卫视,http://223.110.241.139:6610/gitv/live1/G_NANFANG/G_NANFANG/
厦门卫视,http://223.110.241.139:6610/gitv/live1/G_XIAMEN/G_XIAMEN/
兵团卫视,http://223.110.241.139:6610/gitv/live1/G_BINGTUAN/G_BINGTUAN/
延边卫视,http://223.110.241.139:6610/gitv/live1/G_YANBIAN/G_YANBIAN/
农林卫视,http://223.110.241.139:6610/gitv/live1/G_NONGLIN/G_NONGLIN/
康巴卫视,http://223.110.241.139:6610/gitv/live1/G_KANGBA/G_KANGBA
安多卫视,http://223.110.241.139:6610/gitv/live1/G_ANDUO/G_ANDUO
山东教育卫视,http://223.110.241.139:6610/gitv/live1/G_SDETV/G_SDETV
Newtv高清,#genre#
Newtv精品大剧,http://223.110.241.139:6610/cntv/live1/jdaju/jdaju
Newtv爱情喜剧,http://223.110.241.139:6610/cntv/live1/aiqingxj/aiqingxj
Newtv健康有约,http://223.110.241.139:6610/cntv/live1/ljiankangyouyue/ljiankangyouyue
Newtv动作电影,http://223.110.241.139:6610/cntv/live1/dongzuody/dongzuody
Newtv惊悚悬疑,http://223.110.241.139:6610/cntv/live1/jingsongxy/jingsongxy
Newtv家庭剧场,http://223.110.241.139:6610/cntv/live1/jiatingjc/jiatingjc
Newtv金牌综艺,http://223.110.241.139:6610/cntv/live1/saishijx/saishijx
Newtv精品纪录,http://223.110.241.139:6610/cntv/live1/jingpinjl/jingpinjl
Newtv搏击,http://223.110.241.139:6610/cntv/live1/SD-1500k-576P-bokesen/SD-1500k-576P-bokesen
Newtv中国功夫,http://223.110.241.139:6610/cntv/live1/SD-1500k-576P-gzkongfu/SD-1500k-576P-gzkongfu
Newtv农业致富,http://223.110.241.139:6610/cntv/live1/nongyezf/nongyezf
Newtv潮妈辣婆,http://223.110.241.139:6610/cntv/live1/HD-1500k-720P-cmlapo/HD-1500k-720P-cmlapo
Newtv精品体育,http://223.110.241.139:6610/cntv/live1/jtiyu/jtiyu
Newtv军事评论,http://223.110.241.139:6610/cntv/live1/junshipl/junshipl
Newtv军旅剧场,http://223.110.241.139:6610/cntv/live1/junlvjc/junlvjc
Newtv古装剧场,http://223.110.241.139:6610/cntv/live1/guzhuangjc/guzhuangjc
黑莓动画,http://223.110.241.139:6610/cntv/live1/donghuawg/donghuawg
黑莓电影,http://223.110.241.139:6610/cntv/live1/jdianying/jdianying
黑莓电竞,http://223.110.241.139:6610/cntv/live1/wmyx/wmyx
明星大片,http://223.110.241.139:6610/cntv/live1/mingxingdp/mingxingdp
海外剧场,http://223.110.241.139:6610/cntv/live1/xiqumd/xiqumd
数字高清,#genre#
山东教育,http://223.110.241.139:6610/cntv/live1/shandongjy/shandongjy
考试在线,http://223.110.241.139:6610/gitv/live1/G_KAOSHIZX/G_KAOSHIZX
置业频道,http://223.110.241.139:6610/gitv/live1/G_ZHIYE/G_ZHIYE
京视剧场,http://223.110.241.139:6610/gitv/live1/G_JINGJU/G_JINGJU
新娱乐,http://223.110.241.139:6610/gitv/live1/G_XINYULE/G_XINYULE
家庭理财,http://223.110.241.139:6610/gitv/live1/G_JIATINGLC/G_JIATINGLC
中国交通频道,http://223.110.241.139:6610/gitv/live1/G_ZHONGGUOJT/G_ZHONGGUOJT/
国学频道,http://223.110.241.139:6610/gitv/live1/G_GUOXUE/G_GUOXUE/
篮球,http://223.110.241.139:6610/gitv/live1/G_LANQIU/G_LANQIU/
弈坛春秋,http://223.110.241.139:6610/gitv/live1/G_YITANCQ/G_YITANCQ
少儿高清,#genre#
嘉佳卡通,http://223.110.241.139:6610/gitv/live1/G_JIAJIA/G_JIAJIA/
卡酷少儿,http://223.110.241.139:6610/gitv/live1/G_KAKU/G_KAKU/
金鹰卡通,http://223.110.241.139:6610/gitv/live1/G_JINYING/G_JINYING/
炫动卡通,http://223.110.241.139:6610/gitv/live1/G_XUANDONG/G_XUANDONG/
优漫卡通,http://223.110.241.139:6610/gitv/live1/G_YOUMAN/G_YOUMAN/
金鹰卡通,http://223.110.241.139:6610/cntv/live1/jinyingkaton/jinyingkaton
卡酷少儿,http://223.110.241.139:6610/cntv/live1/kakukaton/kakukaton
炫动卡通,http://223.110.241.139:6610/cntv/live1/xuandongkaton/xuandongkaton
江苏频道,#genre#
江苏教育,http://223.110.241.139:6610/gitv/live1/G_JSJY/G_JSJY
江苏城市,http://223.110.241.139:6610/gitv/live1/G_JSCS/G_JSCS
江苏公共,http://223.110.241.139:6610/gitv/live1/G_JSGG/G_JSGG
江苏影视,http://223.110.241.139:6610/gitv/live1/G_JSYS/G_JSYS
江苏休闲体育,http://223.110.241.139:6610/gitv/live1/G_JSTY/G_JSTY
江苏综艺,http://223.110.241.139:6610/gitv/live1/G_JSZY/G_JSZY
南京新闻综合,http://223.110.241.139:6610/gitv/live1/G_NJXW/G_NJXW
南京科教,http://223.110.241.139:6610/gitv/live1/G_NJJK/G_NJJK
南京十八,http://223.110.241.139:6610/gitv/live1/G_NJSB/G_NJSB
南京少儿,http://223.110.241.139:6610/gitv/live1/G_NJSE/G_NJSE
南京文旅,http://223.110.254.137:6610/gitv/live1/nanjingwenlvjilu/nanjingwenlvjilu
南京影视,http://223.110.254.137:6610/gitv/live1/G_NJYS/G_NJYS
无锡新闻,http://223.110.241.139:6610/gitv/live1/G_WXXW/G_WXXW/
盐城1,http://ott.mobaibox.com/PLTV/3/224/3221228435/index.m3u8

盐城2,http://ott.mobaibox.com/PLTV/3/224/3221228433/index.m3u8

盐城3,http://ott.mobaibox.com/PLTV/3/224/3221228436/index.m3u8
大丰综合频道,http://dafeng-tv-hls.cm.jstv.com/dafeng-tv/dafengyt.m3u8?zjiangsd

大丰公共频道,http://dafeng-tv-hls.cm.jstv.com/dafeng-tv/dafenget.m3u8?zjiangsd


