央视频道,#genre#
常州生活,http://ott.mobaibox.com/PLTV/3/224/3221227902/index.m3u8
常州都市,http://ott.mobaibox.com/PLTV/3/224/3221227755/index.m3u8
常州都市,http://ott.mobaibox.com/PLTV/3/224/3221227955/index.m3u8
沛县文艺影视,http://ott.mobaibox.com/PLTV/3/224/3221227681/index.m3u8
沛县新闻综合,http://ott.mobaibox.com/PLTV/3/224/3221227678/index.m3u8
沛县经济生活,http://ott.mobaibox.com/PLTV/3/224/3221227611/index.m3u8
泰州1,http://ott.mobaibox.com/PLTV/3/224/3221228209/index.m3u8
泰州2,http://ott.mobaibox.com/PLTV/3/224/3221228212/index.m3u8
泰州3,http://ott.mobaibox.com/PLTV/3/224/3221228100/index.m3u8
睢宁三农,http://ott.mobaibox.com/PLTV/3/224/3221227709/index.m3u8
睢宁综合,http://ott.mobaibox.com/PLTV/3/224/3221227706/index.m3u8
睢宁资讯,http://ott.mobaibox.com/PLTV/3/224/3221227712/index.m3u8
赣榆,http://ott.mobaibox.com/PLTV/3/224/3221228317/index.m3u8
盐城1,http://ott.mobaibox.com/PLTV/3/224/3221228435/index.m3u8
盐城2,http://ott.mobaibox.com/PLTV/3/224/3221228433/index.m3u8
盐城3,http://ott.mobaibox.com/PLTV/3/224/3221228436/index.m3u8
大丰综合频道,http://dafeng-tv-hls.cm.jstv.com/dafeng-tv/dafengyt.m3u8?zjiangsd
大丰公共频道,http://dafeng-tv-hls.cm.jstv.com/dafeng-tv/dafenget.m3u8?zjiangsd

卫视频道,#genre#
海峡卫视,https://stream1.freetv.fun/hai-xia-wei-shi-6.m3u8
海峡卫视,http://38.64.72.148/hls/modn/list/4009/chunklist0.m3u8

海峡卫视,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221227198/index.m3u8
海峡卫视,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hxws
浙江卫视,http://223.110.241.139:6610/gitv/live1/G_ZHEJIANG-HQ/G_ZHEJIANG-HQ/
江苏卫视,http://223.110.241.139:6610/gitv/live1/JSWS-HD/JSWS-HD/
湖南卫视,http://223.110.241.139:6610/gitv/live1/G_HUNAN-HQ/G_HUNAN-HQ/
东方卫视,http://223.110.241.139:6610/gitv/live1/G_DONGFANG-HQ/G_DONGFANG-HQ/
北京卫视,http://223.110.241.139:6610/gitv/live1/G_BEIJING-HQ/G_BEIJING-HQ/
广东卫视,http://223.110.241.139:6610/gitv/live1/G_GUANGDONG-HQ/G_GUANGDONG-HQ/
安徽卫视,http://223.110.241.139:6610/gitv/live1/AHWS/AHWS/
辽宁卫视,http://223.110.241.139:6610/gitv/live1/LNWS/LNWS/
山东卫视,http://223.110.241.139:6610/gitv/live1/G_SHANDONG-HQ/G_SHANDONG-HQ/
广西卫视,http://223.110.241.139:6610/gitv/live1/GXWS/GXWS/
旅游卫视,http://223.110.241.139:6610/gitv/live1/LYWS/LYWS/
重庆卫视,http://223.110.241.139:6610/gitv/live1/G_CHONGQING/G_CHONGQING/
四川卫视,http://223.110.241.139:6610/gitv/live1/SCWS/SCWS/
河南卫视,http://223.110.241.139:6610/gitv/live1/HENAN/HENAN/
东南卫视,http://223.110.241.139:6610/gitv/live1/DNWS/DNWS/
天津卫视,http://223.110.241.139:6610/gitv/live1/TJWS/TJWS/
江西卫视,http://223.110.241.139:6610/gitv/live1/JXWS/JXWS/
湖北卫视,http://223.110.241.139:6610/gitv/live1/G_HUBEI/G_HUBEI/
吉林卫视,http://223.110.241.139:6610/gitv/live1/G_JILIN/G_JILIN/
山西卫视,http://223.110.241.139:6610/gitv/live1/SXWS/SXWS/
贵州卫视,http://223.110.241.139:6610/gitv/live1/G_GUIZHOU/G_GUIZHOU/
青海卫视,http://223.110.241.139:6610/gitv/live1/G_QINGHAI/G_QINGHAI/
内蒙古卫视,http://223.110.241.139:6610/gitv/live1/G_NEIMENGGU/G_NEIMENGGU/
云南卫视,http://223.110.241.139:6610/gitv/live1/G_YUNNAN/G_YUNNAN/
河北卫视,http://223.110.241.139:6610/gitv/live1/G_HEBEI/G_HEBEI/
宁夏卫视,http://223.110.241.139:6610/gitv/live1/G_NINGXIA/G_NINGXIA/
新疆卫视,http://223.110.241.139:6610/gitv/live1/G_XINJIANG/G_XINJIANG/
甘肃卫视,http://223.110.241.139:6610/gitv/live1/G_GANSU/G_GANSU/
西藏卫视,http://223.110.241.139:6610/gitv/live1/G_XIZANG/G_XIZANG/
北京卫视,http://223.110.254.137:6610/cntv/live1/HD-2500k-1080P-beijingstv/HD-2500k-1080P-beijingstv
东方卫视,http://223.110.254.137:6610/cntv/live1/HD-2500k-1080P-dongfangstv/HD-2500k-1080P-dongfangstv
江苏卫视,http://223.110.254.137:6610/cntv/live1/HD-2500k-1080P-jiangsustv/HD-2500k-1080P-jiangsustv
